Name;Source Book;Src Page;Schl;Sub-school;Descriptor;Class Lvls;Adp;APeace;Arc;Artificer;Asn;Beguiler;Blg;Blk;Brd;BVal;ChamGwyn;Clr;Corrupt;Dem;Drd;Duskblade;EmBarachiel;Exalted Arcanist;HB;Hlr;Hoard;Holder;HotD;Hrp;Hth;IOTDF;KotC;MH;Pal;PUG;Rgr;Sanctified;Shu;Slayer of Domiel;Sor/Wiz;Vassal of Bahamut;Wmg;Wuj;Domn Lvls;Air;Animal;Artifice;Balance;Bestial;Blackwater;Cavern;Celerity;Celestial;Chaos;Charm;City;Cold;Commerce;Community;Competition;Corruption;Courage;Craft;Creation;Darkness;Death;Deathbound;Deathless;Decay;Demonic;Destiny;Destruction;Diabolic;Domination;Dragon;Dream;DrgBlw;Drow;Dwarf;Earth;Elf;Endurance;Evil;Exorcism;Family;Fate;Feast;Fey;Fire;Force;Glory;Gnome;Good;Greed;Halfling;Hatred;Healing;Herald;Hunger;Illusion;Inquisition;Joy;Knowledge;Law;Liberation;Life;Luck;Madness;Magic;Meditation;Mental;Metal;Mind;Moon;Mysticism;Necro;Nobility;Ocean;Oracle;Orc;Pact;Pain;Passion;Pestilence;Planning;Plant;Pleasure;Portal;Portal (alt);Protection;Purification;Renewal;Repose;Retribution;Rune;Sand;SaveLife;Scalykind;Seafolk;Shadow;Sin-A;Sin-E;Sin-G;Sin-L;Sin-P;Sin-S;Sin-W;Sky;Slime;Spell;Spider;Storm;Strength;Suffering;Summer;Summoner;Sun;Thirst;Time;Trade;Transformation;Travel;Trickery;Truth;Tyranny;Undeath;VDarkness;War;Warforged;Water;Watery Death;Wealth;Weather;Winter;Wrath;Components;Casting Time;Range;Effect Type;Effect;Duration;Saving Throw;Resistance;Short Description;Medium Description;Long Descripton
Temporary Soul Binding;ATB;;Conj;Teleportation;;;;;1;;;;;1;1;;;1;;;1;;;;;;;;;;;;;;1;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S;1 round;Touch;Targets;1 Creature and 1 item;1 min./level or until discharged;Will negates (harmless, object);No;An item is temporarily soul bound to the subject.;;The item gains a temporary mark of Soulbinding (This is different from the Permenant binding mark.) and the item will disintigrate and appear near or in the possesion of the creature touched when the target creature is reborn in the Fount of Lost Souls. Should the duration lapse after the creature has died but before the creature is reborn, the duration automatically extends until rebirth.
Temporary Soul Binding, Bimonthly;ATB;;Conj;Teleportation;;;;;8;;;;;;;;;8;;;8;;;;;;;;;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, M, XP;2 minutes;Touch;Target;1 Creature and 1 item;2 days/level;Will negates (harmless, object);No;As Temporary Soul Binding, except 2 days/level and does not get discharged.;;As Temporary Soul Binding, except 2 days/level and does not get discharged.
Temporary Soul Binding, Daily;ATB;;Conj;Teleportation;;;;;4;;;;;4;4;;;4;;;4;;;;;;;;;;;;;;4;;4;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, M;1 minute;Touch;Targets;1 Creature and 1 item;4 hours/level or until discharged;Will negates (harmless, object);No;As Temporary Soul Binding, except 4 hours/level.;;As Temporary Soul Binding, except 4 hours/level.
Temporary Soul Binding, Eventful;ATB;;Conj;Teleportation;;;;;3;;;;;3;3;;;3;;;3;;;;;;;;;;;;;;3;;3;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, M;2 rounds;Touch;Targets;1 Creature and 1 item;1 hour/level or until discharged;Will negates (harmless, object);No;As Temporary Soul Binding, except 1 hour/level.;;As Temporary Soul Binding, except 1 hour/level.
Temporary Soul Binding, Minor;ATB;;Conj;Teleportation;;;;;0;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S;1 standard action;Touch;Targets;1 Creature and 1 item;2 rounds/level up to 1 minute or until discharged;Will negates (harmless, object);No (object);As Temporary Soul Binding, duration is shorter.;;As Temporary Soul Binding, duration is shorter.
Temporary Soul Binding, Moderate;ATB;;Conj;Teleportation;;;;;2;;;;;2;2;;;2;;;2;;;;;;;;;;;;;;2;;2;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, F/DF;2 rounds;Touch;Targets;1 Creature and 1 item;10 min./level or until discharged;Will negates (harmless, object);No;As Temporary Soul Binding, except the duration is longer.;;As Temporary Soul Binding, except the duration is longer.
Temporary Soul Binding, Monthly;ATB;;Conj;Teleportation;;;;;7;;;;;;;;;7;;;7;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, M;2 minutes;Touch;Targets;1 Creature and 1 item;2 days/level or until discharged;Will negates (harmless, object);No;As Temporary Soul Binding, except 2 days/level.;;As Temporary Soul Binding, except 2 days/level.
Temporary Soul Binding, Semimonthly;ATB;;Conj;Teleportation;;;;;6;;;;;;6;;;6;;;6;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, M;2 minutes;Touch;Targets;1 Creature and 1 item;1 day/level or until discharged;Will negates (harmless, object);No;As Temporary Soul Binding, except 1 day/level.;;As Temporary Soul Binding, except 1 day/level.
Temporary Soul Binding, Semiweekly;ATB;;Conj;Teleportation;;;;;5;;;;;;5;;;5;;;5;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, M;2 minutes;Touch;Targets;1 Creature and 1 item;8 hours/level or until discharged;Will negates (harmless, object);No;As Temporary Soul Binding, except 8 hours/level.;;As Temporary Soul Binding, except 8 hours/level.
Tern's Persistence;STO;123;Tran;;;;;;1;;;;;;;;;;;;2;;;;;;;;;;;;;;;;1;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, M/DF;1 standard action;Touch;Target;Creature touched;1 day;Will negates (harmless);Yes (harmless);Subject can travel overland 50% longer without fatigue.;;
Terra Cotta Lion;CAr;126;Tran;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, F;1 standard action;Touch;Target;One statuette touched;1 round/level;None;No;As terra cotta warrior, but the spell animates a statuette of a foo lion.;;
Terra Cotta Warrior;CAr;126;Tran;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, F;1 standard action;Touch;Target;One statuette touched;1 round/level;None;No;This spell turns an statuette into a full-sized warrior.;;
Thalassemia;STO;123;Necr;;;;;;4;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S;1 standard action;Touch;Target;Living creature touched;Instantaneous;"Fortitude half; see text";Yes;Turns blood to seawater, dealing 1d6/level damage.;;
Thaw;FR;105;Tran;;Fire, Earth;;;;2;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, DF;1 standard action;Close (25 ft. + 5 ft./2 levels);Area;10-ft. cube/level;Instantaneous;None;No;Transforms one 10-ft. cube/level of everfrost, slush, snow, and ice.;;
The Hamagess' Staffsprout;MChap;20010829;Tran;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, F;1 minute;Touch;Target;One magical staff;Instantaneous;Will negates;Yes;Creates short-lived wands of 1 charge from a staff.;;
Theskyn's Hearty Heave;LE;35;Evoc;;Force;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S;1 standard action;10 ft.;Targets;One creature/three levels;Instantaneous;None;Yes;Blast of force pushes away creatures surrounding you as though via a bull rush maneuver by a foe of Large size with a Strength score equal to 20 + your caster level (max 25).;;
Thief Ward;BoEM;28;Abj;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S, M;1 standard action;Personal;Area;50-ft.-diameter sphere centered on you;1 min./level;None;No;All Hide and Move Silently checks suffer a -10 penalty.;;
Thin Air;FR;105;Necr;;Cold;;;;2;;;;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S;1 standard action;Medium (100 ft. + 10 ft./level);Area;30-ft.-radius emanation;1 min./level;Fortitude negates;No;Creatures suffer from altitude sickness.;;
Thornskin;CAr;127;Tran;;;;;;3;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, M;1 standard action;Personal;Target;You;1 round/level;;;Unarmed strikes are lethal and deal an additional 1d6 piercing damage.  Creatures that strike you take 5 points of piercing damage.;;
Thousand Needles;BV;106;Conj;Creation;Evil;;;;6;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, M;1 standard action;Medium (100 ft. + 10 ft./level);Target;One living creature;1 min./level;Fortitude partial;Yes;Subject takes 2d6 damage and -4 penalty on attacks, saves, and checks.;;
Threshold of Unlife;Necromancy;31;Necr;;Negative;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, M;30 minuets;100 ft.;Area;100 ft.;Permanent (D);None;Yes;Creata a shadowy area that hinders the living and helps the dead;Create an shadowy area that halves healing, increases damage by half again, and regenerates the dead.;
Thunderhead;SPC;219;Evoc;;Electricity;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, M;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One creature;1 round/level;"Reflex negates; see text";Yes;Small lightning bolts deal 1d6 electricity damage/round.;Small lightning bolts deal 1d6 electricity damage/round. Each bolt requires a successful Reflex save to negate.;
Thunderlance;FRCS;75;Evoc;;Force;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, M;1 standard action;0 ft.;Effect;A spearlike beam;1 round/level (D);None;Yes;Lance of force deals 1d6 damage, plus can dispel force effects.;;
Thunderous Roar;SPC;220;Evoc;;Sonic;;;;3;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, DF;1 standard action;Long (400 ft. + 40 ft./level);Area;20-ft.-radius burst;Instantaneous;"Fortitude partial; see text";Yes;Roar deals 1d6 sonic damage/2 levels, deafens.;Roar deals 1d6 sonic damage/2 levels (max 5d6), Fortitude halves. Reflex or knocked prone.;
Tidal Surge;CD;183;Evoc;;Water;;;;6;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S;1 standard action;Medium (100 ft. + 10 ft./level);Targets;One or more creatures in a 20-ft.-radius burst;Instantaneous;Reflex half;Yes;Wave of water deals 1d8/two levels damage and bull rushes.;;
Tiger's Tooth;MH;40;Tran;;;;;;2;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V;1 swift action;Personal;Target;You;1 round;;;One natural weapon of subject gets +1/four levels on attack and damage rolls (max +5) for 1 round (swift).;;
Time Stop;SRD;294;Tran;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;9;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;9;;;;;;;;;;;;;V;1 standard action;Personal;Target;You;"1d4+1 rounds (apparent time); see text";;;You act freely for 1d4+1 rounds.;;"This spell seems to make time cease to flow for everyone but you. In fact, you speed up so greatly that all other creatures seem frozen, though they are actually still moving at their normal speeds. You are free to act for 1d4+1 rounds of apparent time. Normal and magical fire, cold, gas, and the like can still harm you. While the time stop is in effect, other creatures are invulnerable to your attacks and spells; you cannot target such creatures with any attack or spell. A spell that affects an area and has a duration longer than the remaining duration of the time stop have their normal effects on other creatures once the time stop ends. Most spellcasters use the additional time to improve their defenses, summon allies, or flee from combat.[lf][lf]You cannot move or harm items held, carried, or worn by a creature stuck in normal time, but you can affect any item that is not in another creatures possession.[lf][lf]You are undetectable while time stop lasts. You cannot enter an area protected by an antimagic field while under the effect of time stop."
Tiny Hut;SRD;247;Evoc;;Force;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, M;1 standard action;20 ft.;Effect;20-ft.-radius sphere centered on your location;2 hours/level (D);None;No;Creates shelter for ten creatures.;;"You create an unmoving, opaque sphere of force of any color you desire around yourself. Half the sphere projects above the ground, and the lower hemisphere passes through the ground. As many as nine other Medium creatures can fit into the field with you; they can freely pass into and out of the hut without harming it. However, if you remove yourself from the hut, the spell ends.[lf][lf]The temperature inside the hut is 70 F if the exterior temperature is between 0 and 100 F. An exterior temperature below 0 or above 100 lowers or raises the interior temperature on a 1-degree-for-1 basis. The hut also provides protection against the elements, such as rain, dust, and sandstorms. The hut withstands any wind of less than hurricane force, but a hurricane (75+ mph wind speed) or greater force destroys it.[lf][lf]The interior of the hut is a hemisphere. You can illuminate it dimly upon command or extinguish the light as desired. Although the force field is opaque from the outside, it is transparent from within. Missiles, weapons, and most spell effects can pass through the hut without affecting it, although the occupants cannot be seen from outside the hut (they have total concealment)."
Tojanida Sight;STO;123;Div;;;;;;2;;;;;;;;;;;;2;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S;1 standard action;Personal;Target;You;10 min./level (D);;;Gain all-around vision.;;
Tomb of Light;BE;110;Tran;;Good;;;;7;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, M;1 round;Touch;Target;Evil extraplanar creature touched;Concentration;Fortitude partial;Yes;Entraps and harms evil extraplanar creatures.;;
Tongue of Angels;BoEM;28;Tran;;Good;;;;0;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S;1 standard action;Personal;Target;You;1 round/level;None (harmless);No;You can speak Celestial.;;
Tongue of Baalzebul;BV;107;Tran;;Evil;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, M, Drug;1 round;Personal;Target;You;1 hour/level;;;You gain +2 bonus on Bluff, Diplomacy, and Gather Information checks.;;
Tongue of Fiends;BoEM;28;Tran;;Evil;;;;0;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S;1 standard action;Personal;Target;You;1 round/level;None (harmless);No;You can speak Infernal.;;
Tongue Serpents;BV;107;Tran;;Evil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, M;1 standard action;Personal;Target;You;1 hour/level or until discharged;;;You spit out one Tiny viper/4 levels.;;
Tongue Tendrils;BV;107;Tran;;Evil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, M;1 standard action;Personal;Target;You;1 hour/level or until discharged;;;You spit out tendrils that grapple.;;
Tongues;SRD;294;Div;;;;3;4;4;;;;;;2;;;4;;;;;2;;;;;;;;;;;;;;;;;;3;4;;3;;;;;;;;;;;;;;;3;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, M/DF;1 standard action;Touch;Target;Creature touched;10 min./level;Will negates (harmless);No;Speak any language.;;This spell grants the creature touched the ability to speak and understand the language of any intelligent creature, whether it is a racial tongue or a regional dialect. The subject can speak only one language at a time, although it may be able to understand several languages. Tongues does not enable the subject to speak with creatures who don't speak. The subject can make itself understood as far as its voice carries. This spell does not predispose any creature addressed toward the subject in any way.[lf][lf]Tongues can be made permanent with a permanency spell.
Toothed Tentacle;LE;35;Evoc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, M;1 standard action;Personal;Effect;30-ft.-long tentacle extending from your hand;Concentration, up to 1 round/level (D);;;Shadowy tentacle ending in three mouths (each AC 15, hp 10 + your caster level) projects from your hand. The mouths can strike foes within 10 feet of each other independently, dealing 2d6 points of damage each.;;
Torment;Dragon 336;84;Evoc;;Evil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S;3 rounds;Personal;Target;You;1 day;;;Similar to dolor but causes greater pain.;;
Tormenting Thirst;SA;124;Ench;Compulsion;Mind-Affecting;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;V, S;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One living creature;1 round/level;Will negates;Yes;Subject is overwhelmed by thirst.;;
Tortoise (AC) Shell;CD;184;Tran;;;;;;6;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, DF;1 standard action;Touch;Target;Living creature touched;10 min./level;None;Yes (harmless);Creature gains +6 natural armor, +1/three levels above 11th.;;
Tortoise Shell;MAG;127;Abj;;;;;;3;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, F;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;Creates a 5-ft.-diameter mystic shell;10 min./level;None;No;Large shell provides cover or shelter.;;
Total Repair;ECS;116;Tran;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;;;;V, S;1 standard action;Touch;Target;Construct touched;Instantaneous;Will negates (harmless);Yes (harmless);Repair 10 points/level of damage to a construct.;;
Touch of Adamantine;BE;110;Tran;;;;;;6;;;;;;;;;6;;;6;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S;1 standard action;Touch;Target;Weapon touched;1 min./level;Will negates (harmless, object);Yes (harmless, object);Weapon gains the properties of an adamantime weapon.;;
